source_id,split,variant_id,degradation,severity,severity_name,is_degraded,width,height,aspect_ratio,mean_brightness,brightness_std,dark_ratio,bright_ratio,black_clip_ratio,white_clip_ratio,p01,p05,p50,p95,p99,contrast_range,dynamic_range,laplacian_variance,mean_gradient,std_gradient,mean_saturation,high_saturation_ratio,low_saturation_ratio,noise_estimate,entropy,texture_variation
4f26c847c2f49574,train,4f26c847c2f49574__blur__s3,blur,3,medium,1,640.0,480.0,1.3333333333333333,108.98935546875,57.501114040169874,0.116650390625,0.04886393229166667,0.0,0.0006901041666666667,11.0,21.0,103.0,215.0,251.0,194.0,240.0,16.689373563596938,32.63970184326172,48.117431640625,73.91242838541666,0.0064453125,0.23524088541666666,1.780622959136963,7.741629600524902,1.9323989152908325
4f26c847c2f49574,train,4f26c847c2f49574__motion_blur__s3,motion_blur,3,medium,1,640.0,480.0,1.3333333333333333,108.98712565104167,56.88990521499338,0.1147265625,0.04468424479166667,0.0,0.0006184895833333333,12.0,21.0,104.0,213.0,248.0,192.0,236.0,256.75589688821367,36.286685943603516,68.57559204101562,73.97554361979167,0.005250651041666667,0.23672200520833334,5.467483043670654,7.739278316497803,3.4968342781066895
4f26c847c2f49574,train,4f26c847c2f49574__underexposure__s3,underexposure,3,medium,1,640.0,480.0,1.3333333333333333,59.489228515625,33.59388286587863,0.320009765625,0.0,0.0015657552083333333,0.0,3.0,8.0,57.0,120.0,139.0,112.0,136.0,421.00185041808027,33.770206451416016,61.42144775390625,79.090205078125,0.023349609375,0.2287109375,6.109898090362549,6.9630231857299805,4.612103462219238
4f26c847c2f49574,train,4f26c847c2f49574__overexposure__s3,overexposure,3,medium,1,640.0,480.0,1.3333333333333333,153.17740559895833,75.7590122134016,0.09979166666666667,0.28835611979166664,0.00028645833333333333,0.06010416666666667,9.0,23.0,155.0,255.0,255.0,232.0,246.0,2429.3828471881443,75.04422760009766,143.07337951660156,70.77276692708334,0.017913411458333334,0.27774739583333335,14.401702880859375,7.690262794494629,10.490699768066406
4f26c847c2f49574,train,4f26c847c2f49574__noise__s3,noise,3,medium,1,640.0,480.0,1.3333333333333333,108.65349934895833,61.39067809709144,0.14684244791666667,0.05698893229166667,0.000546875,0.00025065104166666665,4.0,15.0,104.0,220.0,248.0,205.0,244.0,4787.5901401170095,94.06129455566406,103.5012435913086,87.45802083333334,0.049684244791666665,0.147119140625,15.929040908813477,7.870163917541504,16.182096481323242
4f26c847c2f49574,train,4f26c847c2f49574__compression__s3,compression,3,medium,1,640.0,480.0,1.3333333333333333,109.024140625,60.94349118446578,0.141142578125,0.05980794270833333,0.0009244791666666667,0.0008626302083333333,6.0,16.0,104.0,219.0,252.0,203.0,246.0,1287.1870768550873,60.14287185668945,111.18873596191406,77.437197265625,0.022923177083333333,0.23331380208333333,10.871182441711426,7.769590377807617,7.845891952514648
37e5625d5de54eb5,train,37e5625d5de54eb5__clean,none,0,none,0,640.0,361.0,1.7728531855955678,82.04456371191135,52.61072437046198,0.3265625,0.0015192174515235458,3.895429362880886e-05,4.32825484764543e-06,5.0,13.0,80.0,158.0,172.0,145.0,167.0,868.1394989631373,41.544822692871094,69.25181579589844,164.34062067174514,0.3091153047091413,0.0012465373961218836,7.3556294441223145,7.316154479980469,6.2376580238342285
37e5625d5de54eb5,train,37e5625d5de54eb5__blur__s3,blur,3,medium,1,640.0,361.0,1.7728531855955678,82.01022766620498,50.81528535346549,0.30660058864265927,0.0,0.0,0.0,5.0,14.0,80.0,157.0,167.0,143.0,162.0,8.883425437368803,22.231128692626953,32.28138732910156,162.85388677285317,0.30318559556786706,0.00042416897506925206,1.2172385454177856,7.256800651550293,1.3026031255722046
37e5625d5de54eb5,train,37e5625d5de54eb5__motion_blur__s3,motion_blur,3,medium,1,640.0,361.0,1.7728531855955678,82.00876904432133,49.96947069320136,0.300549688365651,1.731301939058172e-05,0.0,0.0,6.0,15.0,79.0,157.0,166.0,142.0,160.0,38.73535006709395,21.846403121948242,30.70611572265625,162.81455592105263,0.29892659279778394,0.0004587950138504155,2.104576587677002,7.258766174316406,1.7382895946502686
37e5625d5de54eb5,train,37e5625d5de54eb5__underexposure__s3,underexposure,3,medium,1,640.0,361.0,1.7728531855955678,44.64250346260388,28.917378320664398,0.4750952216066482,0.0,0.00042416897506925206,0.0,2.0,7.0,44.0,87.0,94.0,80.0,92.0,211.37563501611453,22.750263214111328,38.0067138671875,169.00453168282547,0.32789127423822717,0.001956371191135734,3.8553082942962646,6.446938514709473,3.169262409210205
37e5625d5de54eb5,train,37e5625d5de54eb5__overexposure__s3,overexposure,3,medium,1,640.0,361.0,1.7728531855955678,120.3563582063712,75.65227785099027,0.22468836565096953,0.14392745844875346,4.32825484764543e-06,8.65650969529086e-06,7.0,19.0,120.0,228.0,240.0,209.0,233.0,1310.4741162715975,55.642051696777344,94.21649932861328,162.68331890581717,0.30820637119113575,0.0014369806094182826,9.418200492858887,7.780132293701172,7.799755096435547
37e5625d5de54eb5,train,37e5625d5de54eb5__noise__s3,noise,3,medium,1,640.0,361.0,1.7728531855955678,82.41869373268698,53.223632028704195,0.3070463988919668,0.0015451869806094184,0.0007747576177285319,0.0,3.0,9.0,79.0,164.0,182.0,155.0,179.0,4025.407299687058,74.97980499267578,66.9148178100586,164.23166984072023,0.31800121191135733,0.006336565096952909,13.357379913330078,7.477657318115234,13.881943702697754
37e5625d5de54eb5,train,37e5625d5de54eb5__compression__s3,compression,3,medium,1,640.0,361.0,1.7728531855955678,82.09726454293629,52.396188513785255,0.3231388504155125,0.0013677285318559557,4.7610803324099725e-05,0.0,4.0,13.0,80.0,158.0,171.0,145.0,167.0,451.4057859560592,38.79301452636719,68.39163208007812,162.48078254847644,0.3036790166204986,0.007332063711911358,6.206271171569824,7.245293617248535,4.607264041900635
039f3bfb862023bd,train,039f3bfb862023bd__clean,none,0,none,0,640.0,419.0,1.5274463007159904,108.26756414081146,72.00453296857384,0.2678326372315036,0.07664826968973747,0.0018160799522673032,0.0010777147971360382,3.0,10.0,106.0,222.0,245.0,212.0,242.0,1242.5890736871286,57.084896087646484,87.88929748535156,49.78341288782816,0.012596957040572792,0.36232473150357997,9.722753524780273,7.832239627838135,8.2823486328125
